t [s]; current [mA]
0.0;0.0
5e-05;0.0
0.0001;0.0
0.00015;0.0
0.0002;0.0
0.00025;0.0
0.0003;0.0
0.00035;4.0283203125
0.0004;281.982421875
0.00045;510.589599609375
0.0005;709.991455078125
0.00055;892.27294921875
0.0006;1059.4482421875
0.00065;1214.53857421875
0.0007;1354.522705078125
0.00075;1489.471435546875
0.0008;1613.34228515625
0.00085;1731.170654296875
0.0009;1836.9140625
0.00095;1936.614990234375
0.001;2027.252197265625
0.00105;2110.83984375
0.0011;2193.42041015625
0.00115;2267.9443359375
0.0012;2339.447021484375
0.00125;2406.92138671875
0.0013;2472.381591796875
0.00135;2532.806396484375
0.0014;2585.174560546875
0.00145;2633.514404296875
0.0015;2677.825927734375
0.00155;2718.109130859375
0.0016;2754.364013671875
0.00165;2784.576416015625
0.0017;2808.746337890625
0.00175;2831.9091796875
0.0018;2853.057861328125
0.00185;2866.14990234375
0.0019;2878.23486328125
0.00195;2887.298583984375
0.002;2893.341064453125
0.00205;2894.34814453125
0.0021;2895.355224609375
0.00215;2894.34814453125
0.0022;2891.326904296875
0.00225;2883.270263671875
0.0023;2876.220703125
0.00235;2866.14990234375
0.0024;2854.06494140625
0.00245;2842.987060546875
0.0025;2826.873779296875
0.00255;2809.75341796875
0.0026;2797.66845703125
0.00265;2775.5126953125
0.0027;2755.37109375
0.00275;2735.2294921875
0.0028;2716.094970703125
0.00285;2694.9462890625
0.0029;2670.7763671875
0.00295;2649.627685546875
0.003;2628.47900390625
0.00305;2605.316162109375
0.0031;2584.16748046875
0.00315;2561.004638671875
0.0032;2537.841796875
0.00325;2516.693115234375
0.0033;2493.5302734375
0.00335;2472.381591796875
0.0034;2451.23291015625
0.00345;2429.0771484375
0.0035;2409.942626953125
0.00355;2385.772705078125
0.0036;2367.645263671875
0.00365;2346.49658203125
0.0037;2328.369140625
0.00375;2309.234619140625
0.0038;2291.107177734375
0.00385;2268.951416015625
0.0039;2252.838134765625
0.00395;2236.724853515625
0.004;2220.611572265625
0.00405;2204.498291015625
0.0041;2187.3779296875
0.00415;2172.271728515625
0.0042;2159.1796875
0.00425;2143.06640625
0.0043;2127.960205078125
0.00435;2113.861083984375
0.0044;2099.761962890625
0.00445;2087.677001953125
0.0045;2076.59912109375
0.00455;2063.507080078125
0.0046;2052.42919921875
0.00465;2041.351318359375
0.0047;2029.266357421875
0.00475;2019.195556640625
0.0048;2007.110595703125
0.00485;2001.068115234375
0.0049;1992.00439453125
0.00495;1981.93359375
0.005;1975.89111328125
0.00505;1968.841552734375
0.0051;1960.784912109375
0.00515;1955.74951171875
0.0052;1951.72119140625
0.00525;1946.685791015625
0.0053;1943.66455078125
0.00535;1938.629150390625
0.0054;1933.59375
0.00545;1932.586669921875
0.0055;1931.57958984375
0.00555;1926.544189453125
0.0056;1925.537109375
0.00565;1922.515869140625
0.0057;1921.5087890625
0.00575;1922.515869140625
0.0058;1921.5087890625
0.00585;1915.46630859375
0.0059;1916.473388671875
0.00595;1910.430908203125
0.006;1907.40966796875
0.00605;1907.40966796875
0.0061;1904.388427734375
0.00615;1903.38134765625
0.0062;1904.388427734375
0.00625;1903.38134765625
0.0063;1906.402587890625
