t [s]; pos [encoder @ 500Hz, v=15]
0.0;0
0.002;1
0.004;2
0.006;3
0.008;6
0.01;8
0.012;12
0.014;16
0.016;21
0.018;27
0.02;33
0.022;40
0.024;47
0.026;55
0.028;64
0.03;73
0.032;83
0.034;94
0.036;105
0.038;116
0.04;129
0.042;142
0.044;155
0.046;168
0.048;182
0.05;197
0.052;212
0.054;228
0.056;243
0.058;259
0.06;276
0.062;292
0.064;310
0.066;326
0.068;344
0.07;361
0.072;379
0.074;397
0.076;415
0.078;434
0.08;452
0.082;470
0.084;489
0.086;507
0.088;526
0.09;545
0.092;564
0.094;583
0.096;602
0.098;621
0.1;641
0.102;660
0.104;679
0.106;698
0.108;718
0.11;738
0.112;757
0.114;777
0.116;796
0.118;816
0.12;835
0.122;855
0.124;875
0.126;894
0.128;914
0.13;934
0.132;954
0.134;974
0.136;993
0.138;1013
0.14;1033
0.142;1052
0.144;1072
0.146;1092
0.148;1112
0.15;1131
0.152;1151
0.154;1171
0.156;1190
0.158;1210
0.16;1230
0.162;1250
0.164;1270
0.166;1290
0.168;1309
0.17;1329
0.172;1349
0.174;1368
0.176;1388
0.178;1408
0.18;1428
0.182;1448
0.184;1467
0.186;1487
0.188;1507
0.19;1527
0.192;1546
0.194;1566
0.196;1586
0.198;1606
0.2;1626
0.202;1646
0.204;1665
0.206;1685
0.208;1705
0.21;1725
0.212;1744
0.214;1764
0.216;1784
0.218;1804
0.22;1824
0.222;1843
0.224;1863
0.226;1883
0.228;1902
0.23;1922
0.232;1942
0.234;1962
0.236;1982
0.238;2002
0.24;2022
0.242;2041
0.244;2061
0.246;2081
0.248;2101
0.25;2120
0.252;2140
0.254;2160
0.256;2180
0.258;2200
0.26;2219
0.262;2239
0.264;2259
0.266;2278
0.268;2298
0.27;2318
0.272;2338
0.274;2358
0.276;2378
0.278;2398
0.28;2418
0.282;2437
0.284;2457
0.286;2477
0.288;2496
0.29;2516
0.292;2536
0.294;2556
0.296;2576
0.298;2595
0.3;2615
0.302;2635
0.304;2655
0.306;2674
0.308;2694
0.31;2714
0.312;2734
0.314;2754
0.316;2774
0.318;2794
0.32;2813
0.322;2833
0.324;2853
0.326;2873
0.328;2892
0.33;2912
0.332;2932
0.334;2952
0.336;2971
0.338;2991
0.34;3011
0.342;3031
0.344;3050
0.346;3070
0.348;3090
0.35;3110
0.352;3130
0.354;3150
0.356;3170
0.358;3189
0.36;3209
0.362;3229
0.364;3248
0.366;3268
0.368;3288
0.37;3308
0.372;3328
0.374;3347
0.376;3367
0.378;3387
0.38;3407
0.382;3426
0.384;3446
0.386;3466
0.388;3486
0.39;3506
0.392;3526
0.394;3546
0.396;3566
0.398;3585
0.4;3605
0.402;3625
0.404;3644
0.406;3664
0.408;3684
0.41;3704
0.412;3724
0.414;3743
0.416;3763
0.418;3783
0.42;3803
0.422;3822
0.424;3842
0.426;3862
0.428;3882
0.43;3902
0.432;3922
0.434;3942
0.436;3961
0.438;3981
0.44;4001
0.442;4021
0.444;4040
0.446;4060
0.448;4080
0.45;4100
0.452;4120
0.454;4139
0.456;4159
0.458;4179
0.46;4198
0.462;4218
0.464;4238
0.466;4258
0.468;4278
0.47;4298
0.472;4318
0.474;4338
0.476;4357
0.478;4377
0.48;4397
0.482;4417
0.484;4436
0.486;4456
0.488;4476
0.49;4496
0.492;4516
0.494;4535
0.496;4555
0.498;4575
0.5;4594
0.502;4614
0.504;4634
0.506;4654
0.508;4674
0.51;4694
0.512;4714
0.514;4733
0.516;4753
0.518;4773
0.52;4793
0.522;4813
0.524;4832
0.526;4852
0.528;4872
0.53;4892
0.532;4911
0.534;4931
0.536;4951
0.538;4971
0.54;4990
0.542;5010
0.544;5030
0.546;5050
0.548;5070
0.55;5090
0.552;5110
0.554;5130
0.556;5149
0.558;5169
0.56;5189
0.562;5209
0.564;5228
0.566;5248
0.568;5268
0.57;5288
0.572;5308
0.574;5327
0.576;5347
0.578;5367
0.58;5387
0.582;5406
0.584;5426
0.586;5446
0.588;5466
0.59;5486
0.592;5506
0.594;5526
0.596;5546
0.598;5565
0.6;5585
0.602;5605
0.604;5625
0.606;5644
0.608;5664
0.61;5684
0.612;5704
0.614;5724
0.616;5743
0.618;5763
0.62;5783
0.622;5802
0.624;5822
0.626;5842
0.628;5862
0.63;5882
0.632;5902
0.634;5922
0.636;5942
0.638;5962
0.64;5981
0.642;6001
0.644;6021
0.646;6040
0.648;6060
0.65;6080
0.652;6100
0.654;6120
0.656;6140
0.658;6159
0.66;6179
0.662;6199
0.664;6218
0.666;6238
0.668;6258
0.67;6278
0.672;6298
0.674;6318
0.676;6338
0.678;6358
0.68;6377
0.682;6397
0.684;6417
0.686;6436
0.688;6456
0.69;6476
0.692;6496
0.694;6516
0.696;6536
0.698;6555
0.7;6575
0.702;6595
0.704;6615
0.706;6634
0.708;6654
0.71;6674
0.712;6694
0.714;6714
0.716;6734
0.718;6754
0.72;6773
0.722;6793
0.724;6813
0.726;6833
0.728;6853
0.73;6872
0.732;6892
0.734;6912
0.736;6932
0.738;6952
0.74;6971
0.742;6991
0.744;7011
0.746;7030
0.748;7050
0.75;7070
0.752;7090
0.754;7110
0.756;7130
0.758;7150
0.76;7170
0.762;7190
0.764;7209
0.766;7229
0.768;7249
0.77;7269
0.772;7288
0.774;7308
0.776;7328
0.778;7348
0.78;7368
0.782;7387
0.784;7407
0.786;7427
0.788;7447
0.79;7467
0.792;7486
0.794;7506
0.796;7526
0.798;7546
0.8;7566
0.802;7586
0.804;7606
0.806;7625
0.808;7645
0.81;7665
0.812;7685
0.814;7705
0.816;7724
0.818;7744
0.82;7764
0.822;7784
0.824;7803
0.826;7823
0.828;7843
0.83;7863
0.832;7883
0.834;7902
0.836;7922
0.838;7942
0.84;7962
0.842;7982
0.844;8002
0.846;8022
0.848;8041
0.85;8061
0.852;8081
0.854;8101
