t [s]; current [mA]
0.0;1.007080078125
5e-05;1.007080078125
0.0001;1.007080078125
0.00015;1.007080078125
0.0002;1.007080078125
0.00025;1.007080078125
0.0003;0.0
0.00035;4.0283203125
0.0004;4.0283203125
0.00045;6.04248046875
0.0005;8.056640625
0.00055;15.106201171875
0.0006;73.516845703125
0.00065;103.729248046875
0.0007;118.83544921875
0.00075;133.941650390625
0.0008;146.026611328125
0.00085;158.111572265625
0.0009;169.189453125
0.00095;178.253173828125
0.001;190.338134765625
0.00105;200.408935546875
0.0011;210.479736328125
0.00115;216.522216796875
0.0012;224.578857421875
0.00125;231.62841796875
0.0013;239.68505859375
0.00135;244.720458984375
0.0014;250.762939453125
0.00145;255.79833984375
0.0015;261.8408203125
0.00155;266.876220703125
0.0016;270.904541015625
0.00165;275.93994140625
0.0017;278.961181640625
0.00175;283.99658203125
0.0018;287.017822265625
0.00185;289.031982421875
0.0019;289.031982421875
0.00195;295.074462890625
0.002;295.074462890625
0.00205;299.102783203125
0.0021;299.102783203125
0.00215;298.095703125
0.0022;298.095703125
0.00225;300.10986328125
0.0023;295.074462890625
0.00235;294.0673828125
0.0024;292.05322265625
0.00245;292.05322265625
0.0025;292.05322265625
0.00255;289.031982421875
0.0026;290.0390625
0.00265;288.02490234375
0.0027;288.02490234375
0.00275;289.031982421875
0.0028;287.017822265625
0.00285;287.017822265625
0.0029;285.003662109375
0.00295;285.003662109375
0.003;282.989501953125
0.00305;281.982421875
0.0031;283.99658203125
0.00315;282.989501953125
0.0032;282.989501953125
0.00325;281.982421875
0.0033;279.96826171875
0.00335;279.96826171875
0.0034;280.975341796875
0.00345;277.9541015625
0.0035;277.9541015625
0.00355;276.947021484375
0.0036;278.961181640625
0.00365;276.947021484375
0.0037;279.96826171875
0.00375;279.96826171875
0.0038;277.9541015625
0.00385;276.947021484375
0.0039;273.92578125
0.00395;276.947021484375
0.004;274.932861328125
0.00405;275.93994140625
0.0041;275.93994140625
0.00415;275.93994140625
0.0042;274.932861328125
0.00425;273.92578125
0.0043;274.932861328125
0.00435;274.932861328125
0.0044;274.932861328125
0.00445;274.932861328125
0.0045;273.92578125
0.00455;273.92578125
0.0046;270.904541015625
0.00465;270.904541015625
0.0047;270.904541015625
0.00475;267.88330078125
0.0048;267.88330078125
0.00485;266.876220703125
0.0049;266.876220703125
0.00495;267.88330078125
0.005;265.869140625
0.00505;264.862060546875
0.0051;266.876220703125
0.00515;265.869140625
0.0052;263.85498046875
0.00525;264.862060546875
0.0053;262.847900390625
0.00535;263.85498046875
0.0054;261.8408203125
0.00545;261.8408203125
0.0055;260.833740234375
0.00555;260.833740234375
0.0056;259.82666015625
0.00565;259.82666015625
0.0057;261.8408203125
0.00575;259.82666015625
0.0058;257.8125
0.00585;255.79833984375
0.0059;254.791259765625
0.00595;255.79833984375
0.006;255.79833984375
0.00605;256.805419921875
