t [s]; speed [encoder diff @ 1KHz]
0.0;0
0.001;0
0.002;1
0.003;0
0.004;0
0.005;1
0.006;0
0.007;1
0.008;1
0.009;0
0.01;0
0.011;1
0.012;1
0.013;0
0.014;1
0.015;0
0.016;1
0.017;0
0.018;1
0.019;1
0.02;0
0.021;1
0.022;1
0.023;0
0.024;1
0.025;1
0.026;0
0.027;1
0.028;1
0.029;0
0.03;1
0.031;0
0.032;1
0.033;1
0.034;1
0.035;0
0.036;1
0.037;1
0.038;1
0.039;0
0.04;1
0.041;1
0.042;1
0.043;0
0.044;1
0.045;1
0.046;0
0.047;2
0.048;0
0.049;1
0.05;1
0.051;1
0.052;1
0.053;1
0.054;1
0.055;0
0.056;1
0.057;1
0.058;1
0.059;1
0.06;1
0.061;1
0.062;1
0.063;1
0.064;0
0.065;2
0.066;1
0.067;1
0.068;0
0.069;2
0.07;1
0.071;1
0.072;0
0.073;2
0.074;1
0.075;1
0.076;0
0.077;2
0.078;1
0.079;1
0.08;1
0.081;1
0.082;1
0.083;1
0.084;1
0.085;1
0.086;2
0.087;0
0.088;2
0.089;1
0.09;1
0.091;1
0.092;1
0.093;1
0.094;1
0.095;2
0.096;1
0.097;1
0.098;1
0.099;1
0.1;2
0.101;1
0.102;1
0.103;1
0.104;1
0.105;2
0.106;1
0.107;1
0.108;2
0.109;1
0.11;1
0.111;1
0.112;2
0.113;1
0.114;1
0.115;2
0.116;1
0.117;1
0.118;2
0.119;1
0.12;1
0.121;2
0.122;1
0.123;1
0.124;2
0.125;1
0.126;2
0.127;1
0.128;1
0.129;2
0.13;1
0.131;1
0.132;2
0.133;2
0.134;1
0.135;1
0.136;2
0.137;1
0.138;2
0.139;1
0.14;2
0.141;1
0.142;1
0.143;2
0.144;2
0.145;1
0.146;2
0.147;1
0.148;2
0.149;2
0.15;1
0.151;2
0.152;1
0.153;2
0.154;1
0.155;1
0.156;2
0.157;2
0.158;2
0.159;1
0.16;2
0.161;1
0.162;2
0.163;2
0.164;2
0.165;1
0.166;2
0.167;1
0.168;2
0.169;2
0.17;1
0.171;2
0.172;2
0.173;2
0.174;1
0.175;2
0.176;2
0.177;1
0.178;2
0.179;2
0.18;2
0.181;1
0.182;2
0.183;2
0.184;2
0.185;2
0.186;1
0.187;2
0.188;1
0.189;3
0.19;1
0.191;2
0.192;2
0.193;2
0.194;2
0.195;2
0.196;2
0.197;1
0.198;2
0.199;2
0.2;2
0.201;2
0.202;2
0.203;1
0.204;2
0.205;2
0.206;2
0.207;2
0.208;2
0.209;2
0.21;2
0.211;2
0.212;2
0.213;2
0.214;2
0.215;2
0.216;2
0.217;2
0.218;2
0.219;2
0.22;2
0.221;2
0.222;2
0.223;2
0.224;2
0.225;2
0.226;2
0.227;2
0.228;2
0.229;2
0.23;2
0.231;2
0.232;2
0.233;2
0.234;2
0.235;2
0.236;3
0.237;1
0.238;3
0.239;2
0.24;2
0.241;2
0.242;2
0.243;2
0.244;3
0.245;2
0.246;2
0.247;2
0.248;2
0.249;2
0.25;2
0.251;3
0.252;2
0.253;2
0.254;2
0.255;3
0.256;2
0.257;2
0.258;2
0.259;2
0.26;3
0.261;2
0.262;2
0.263;2
0.264;3
0.265;2
0.266;2
0.267;2
0.268;2
0.269;3
0.27;2
0.271;3
0.272;2
0.273;2
0.274;2
0.275;2
0.276;3
0.277;2
0.278;3
0.279;2
0.28;2
0.281;3
0.282;2
0.283;3
0.284;2
0.285;2
0.286;3
0.287;2
0.288;3
0.289;2
0.29;2
0.291;3
0.292;2
0.293;3
0.294;2
0.295;2
0.296;3
0.297;2
0.298;3
0.299;2
0.3;2
0.301;3
0.302;3
0.303;2
0.304;2
0.305;3
0.306;3
0.307;2
0.308;2
0.309;3
0.31;3
0.311;2
0.312;3
0.313;2
0.314;3
0.315;2
0.316;2
0.317;3
0.318;3
0.319;2
0.32;3
0.321;3
0.322;2
0.323;3
0.324;2
0.325;3
0.326;2
0.327;3
0.328;3
0.329;2
0.33;3
0.331;3
0.332;2
0.333;3
0.334;3
0.335;2
0.336;3
0.337;3
0.338;2
0.339;3
0.34;3
0.341;2
0.342;3
0.343;3
0.344;2
0.345;3
0.346;3
0.347;2
0.348;3
0.349;3
0.35;2
0.351;3
0.352;3
0.353;3
0.354;2
0.355;3
0.356;3
0.357;3
0.358;2
0.359;3
0.36;3
0.361;3
0.362;3
0.363;3
0.364;2
0.365;3
0.366;3
0.367;3
0.368;2
0.369;4
0.37;2
0.371;3
0.372;3
0.373;3
0.374;3
0.375;2
0.376;3
0.377;3
0.378;3
0.379;3
0.38;3
0.381;3
0.382;2
0.383;4
0.384;2
0.385;3
0.386;3
0.387;3
0.388;3
0.389;3
0.39;3
0.391;3
0.392;3
0.393;2
0.394;4
0.395;3
0.396;3
0.397;2
0.398;4
0.399;3
0.4;3
0.401;2
0.402;4
0.403;3
0.404;2
0.405;3
0.406;4
0.407;3
0.408;3
0.409;2
0.41;4
0.411;3
0.412;3
0.413;2
0.414;4
0.415;3
0.416;3
0.417;3
0.418;3
0.419;3
0.42;3
0.421;3
0.422;3
0.423;4
0.424;3
0.425;3
0.426;3
0.427;3
0.428;3
0.429;3
0.43;3
0.431;3
0.432;4
0.433;3
0.434;3
0.435;3
0.436;3
0.437;4
0.438;3
0.439;3
0.44;3
0.441;3
0.442;3
0.443;4
0.444;3
0.445;3
0.446;3
0.447;3
0.448;4
0.449;3
0.45;3
0.451;3
0.452;4
0.453;3
0.454;3
0.455;3
0.456;3
0.457;4
0.458;3
0.459;3
0.46;4
0.461;3
0.462;3
0.463;4
0.464;3
0.465;3
0.466;3
0.467;3
0.468;4
0.469;3
0.47;4
0.471;3
0.472;3
0.473;3
0.474;4
0.475;3
0.476;4
0.477;3
0.478;3
0.479;3
0.48;4
0.481;4
0.482;3
0.483;3
0.484;4
0.485;3
0.486;3
0.487;4
0.488;3
0.489;4
0.49;3
0.491;3
0.492;4
0.493;3
0.494;4
0.495;3
0.496;4
0.497;3
0.498;3
0.499;4
0.5;3
0.501;4
0.502;3
0.503;4
0.504;3
0.505;4
0.506;3
0.507;3
0.508;4
0.509;4
0.51;3
0.511;4
0.512;3
0.513;4
0.514;3
0.515;4
0.516;3
0.517;4
0.518;3
0.519;4
0.52;3
0.521;4
0.522;4
0.523;3
0.524;3
0.525;4
0.526;4
0.527;4
0.528;3
0.529;4
0.53;3
0.531;4
0.532;3
0.533;4
0.534;3
0.535;4
0.536;4
0.537;4
0.538;3
0.539;4
0.54;3
0.541;4
0.542;4
0.543;3
0.544;4
0.545;3
0.546;4
0.547;4
0.548;4
0.549;3
0.55;4
0.551;4
0.552;3
0.553;4
0.554;4
0.555;3
0.556;4
0.557;4
0.558;3
0.559;4
0.56;4
0.561;4
0.562;3
0.563;4
0.564;4
0.565;4
0.566;3
0.567;4
0.568;4
0.569;4
0.57;3
0.571;4
0.572;4
0.573;3
0.574;4
0.575;4
0.576;4
0.577;4
0.578;4
0.579;3
0.58;4
0.581;4
0.582;4
0.583;4
0.584;3
0.585;4
0.586;4
0.587;4
0.588;4
0.589;4
0.59;3
0.591;4
0.592;4
0.593;4
0.594;4
0.595;3
0.596;4
0.597;4
0.598;4
0.599;4
0.6;4
0.601;4
0.602;4
0.603;4
0.604;4
0.605;4
0.606;4
0.607;4
0.608;3
0.609;4
0.61;4
0.611;4
0.612;4
0.613;4
0.614;4
0.615;4
0.616;4
0.617;4
0.618;4
0.619;4
0.62;4
0.621;4
0.622;4
0.623;4
0.624;3
0.625;4
0.626;4
0.627;4
0.628;4
0.629;4
0.63;4
0.631;4
0.632;4
0.633;4
0.634;5
0.635;4
0.636;4
0.637;4
0.638;4
0.639;4
0.64;4
0.641;4
0.642;4
0.643;4
0.644;4
0.645;4
0.646;4
0.647;4
0.648;4
0.649;4
0.65;4
0.651;5
0.652;4
0.653;4
0.654;4
0.655;4
0.656;4
0.657;4
0.658;4
0.659;4
0.66;4
0.661;4
0.662;4
0.663;4
0.664;5
0.665;4
0.666;4
0.667;4
0.668;4
0.669;5
0.67;4
0.671;4
0.672;4
0.673;4
0.674;4
0.675;5
0.676;4
0.677;4
0.678;4
0.679;5
0.68;4
0.681;4
0.682;4
0.683;4
0.684;4
0.685;4
0.686;4
0.687;5
0.688;4
0.689;5
0.69;4
0.691;4
0.692;4
0.693;4
0.694;5
0.695;4
0.696;4
0.697;5
0.698;4
0.699;4
0.7;4
0.701;4
0.702;4
0.703;5
0.704;4
0.705;5
0.706;4
0.707;4
0.708;5
0.709;4
0.71;4
0.711;5
0.712;4
0.713;4
0.714;4
0.715;4
0.716;5
0.717;4
0.718;5
0.719;4
0.72;4
0.721;5
0.722;4
0.723;5
0.724;4
0.725;4
0.726;4
0.727;5
0.728;4
0.729;5
0.73;4
0.731;4
0.732;5
0.733;4
0.734;5
0.735;4
0.736;4
0.737;5
0.738;4
0.739;5
0.74;4
0.741;4
0.742;5
0.743;4
0.744;5
0.745;4
0.746;4
0.747;5
0.748;4
0.749;5
0.75;4
0.751;5
0.752;4
0.753;5
0.754;4
0.755;4
0.756;5
0.757;5
0.758;4
0.759;4
0.76;5
0.761;5
0.762;4
0.763;4
0.764;5
0.765;4
0.766;5
0.767;5
0.768;4
0.769;5
0.77;4
0.771;4
0.772;5
0.773;5
0.774;4
0.775;5
0.776;4
0.777;5
0.778;4
0.779;5
0.78;4
0.781;5
0.782;5
0.783;4
0.784;5
0.785;4
0.786;4
0.787;5
0.788;5
0.789;5
0.79;4
0.791;5
0.792;4
0.793;5
0.794;4
0.795;5
0.796;5
0.797;4
0.798;5
0.799;4
0.8;5
0.801;5
0.802;4
0.803;5
0.804;5
0.805;4
0.806;5
0.807;4
0.808;5
0.809;5
0.81;5
0.811;4
0.812;4
0.813;6
0.814;4
0.815;5
0.816;5
0.817;4
0.818;5
0.819;4
0.82;5
0.821;5
0.822;5
0.823;4
0.824;5
0.825;5
0.826;4
0.827;5
0.828;5
0.829;4
0.83;5
0.831;5
0.832;5
0.833;4
0.834;5
0.835;5
0.836;5
0.837;4
0.838;5
0.839;5
0.84;4
0.841;5
0.842;5
0.843;5
0.844;5
0.845;4
0.846;5
0.847;5
0.848;5
0.849;5
0.85;4
0.851;5
0.852;5
0.853;5
0.854;5
0.855;4
0.856;5
0.857;5
0.858;5
0.859;5
0.86;4
0.861;5
0.862;5
0.863;5
0.864;5
0.865;4
0.866;5
0.867;5
0.868;5
0.869;5
0.87;4
0.871;5
0.872;5
0.873;5
0.874;5
0.875;5
0.876;5
0.877;5
0.878;5
0.879;4
0.88;5
0.881;5
0.882;5
0.883;5
0.884;4
0.885;6
0.886;5
0.887;5
0.888;4
0.889;5
0.89;5
0.891;5
0.892;5
0.893;5
0.894;5
0.895;5
0.896;5
0.897;4
0.898;6
0.899;4
0.9;6
0.901;4
0.902;5
0.903;5
0.904;5
0.905;5
0.906;5
0.907;5
0.908;5
0.909;5
0.91;5
0.911;5
0.912;5
0.913;5
0.914;5
0.915;5
0.916;5
0.917;5
0.918;5
0.919;5
0.92;5
0.921;5
0.922;4
0.923;6
0.924;5
0.925;5
0.926;5
0.927;5
0.928;5
0.929;5
0.93;5
0.931;5
0.932;5
0.933;5
0.934;5
0.935;5
0.936;5
0.937;5
0.938;5
0.939;6
0.94;5
0.941;4
0.942;6
0.943;5
0.944;5
0.945;5
0.946;5
0.947;5
0.948;5
0.949;5
0.95;5
0.951;6
0.952;4
0.953;6
0.954;5
0.955;5
0.956;5
0.957;5
0.958;5
0.959;5
0.96;6
0.961;5
0.962;5
0.963;5
0.964;5
0.965;5
0.966;5
0.967;5
0.968;6
0.969;5
0.97;5
0.971;5
0.972;5
0.973;5
0.974;6
0.975;5
0.976;5
0.977;5
0.978;5
0.979;6
0.98;4
0.981;6
0.982;5
0.983;5
0.984;5
0.985;6
0.986;5
0.987;5
0.988;5
0.989;5
0.99;5
0.991;6
0.992;5
0.993;5
0.994;6
0.995;5
0.996;5
0.997;5
0.998;5
0.999;6
1.0;5
1.001;5
1.002;6
1.003;4
1.004;6
1.005;5
1.006;5
1.007;6
1.008;5
1.009;5
1.01;5
1.011;6
1.012;5
1.013;5
1.014;6
1.015;5
1.016;5
1.017;5
1.018;6
1.019;5
1.02;5
1.021;6
1.022;5
1.023;5
1.024;6
1.025;5
1.026;5
1.027;6
1.028;5
1.029;5
1.03;6
1.031;5
1.032;5
1.033;6
1.034;5
1.035;5
1.036;6
1.037;5
1.038;5
1.039;6
1.04;5
1.041;5
1.042;6
1.043;5
1.044;5
1.045;6
1.046;5
1.047;6
1.048;5
1.049;5
1.05;6
1.051;5
1.052;5
1.053;6
1.054;5
1.055;6
1.056;5
1.057;5
1.058;6
1.059;5
1.06;5
1.061;6
1.062;6
1.063;5
1.064;5
1.065;6
1.066;5
1.067;6
1.068;5
1.069;6
1.07;5
1.071;5
1.072;6
1.073;6
1.074;5
1.075;5
1.076;6
1.077;5
1.078;6
1.079;5
1.08;6
1.081;5
1.082;5
1.083;6
1.084;6
1.085;5
1.086;6
1.087;5
1.088;5
1.089;6
1.09;5
1.091;6
1.092;6
1.093;5
1.094;5
1.095;6
1.096;5
1.097;6
1.098;5
1.099;6
1.1;6
1.101;5
1.102;6
1.103;5
1.104;6
1.105;5
1.106;5
1.107;6
1.108;6
1.109;5
1.11;6
1.111;5
1.112;6
1.113;6
1.114;5
1.115;6
1.116;5
1.117;6
1.118;6
1.119;5
1.12;6
1.121;5
1.122;6
1.123;5
1.124;6
1.125;5
1.126;6
1.127;6
1.128;5
1.129;6
1.13;5
1.131;6
1.132;6
1.133;5
1.134;6
1.135;5
1.136;6
1.137;6
1.138;5
1.139;6
1.14;6
1.141;5
1.142;6
1.143;6
1.144;5
1.145;6
1.146;5
1.147;6
1.148;6
1.149;5
1.15;6
1.151;5
1.152;6
1.153;6
1.154;6
1.155;5
1.156;6
1.157;6
1.158;5
1.159;6
1.16;6
1.161;5
1.162;6
1.163;5
1.164;6
1.165;6
1.166;6
1.167;6
1.168;5
1.169;6
1.17;5
1.171;6
1.172;6
1.173;6
1.174;5
1.175;6
1.176;6
1.177;5
1.178;6
1.179;6
1.18;6
1.181;6
1.182;5
1.183;6
1.184;5
1.185;6
1.186;6
1.187;6
1.188;6
1.189;5
1.19;6
1.191;6
1.192;6
1.193;5
1.194;6
1.195;6
1.196;6
1.197;6
1.198;5
1.199;6
1.2;6
1.201;6
1.202;5
1.203;6
1.204;6
1.205;6
1.206;6
1.207;5
1.208;6
1.209;6
1.21;6
1.211;5
1.212;6
1.213;6
1.214;6
1.215;6
1.216;6
1.217;5
1.218;6
1.219;6
1.22;5
1.221;7
1.222;5
1.223;6
1.224;6
1.225;6
1.226;6
1.227;6
1.228;6
1.229;5
1.23;6
1.231;6
1.232;6
1.233;6
1.234;6
1.235;5
1.236;6
1.237;6
1.238;6
1.239;6
1.24;6
1.241;6
1.242;6
1.243;6
1.244;5
1.245;7
1.246;5
1.247;6
1.248;6
1.249;6
1.25;5
1.251;7
1.252;5
1.253;7
1.254;5
1.255;6
1.256;6
1.257;6
1.258;6
1.259;6
1.26;6
1.261;6
1.262;6
1.263;6
1.264;6
1.265;6
1.266;6
1.267;5
1.268;6
1.269;6
1.27;6
1.271;6
